"race_year","races","hits_13x","sanrenpuku_return"
"2005",1179,72,55.08
"2006",1187,74,82.26
"2007",1158,48,64.89
"2008",1148,71,68.07
"2009",1178,82,72.10
"2010",1107,70,62.88
"2011",1080,100,112.93
"2012",1088,95,75.03
"2013",1123,121,90.42
"2014",1035,108,89.71
"2015",972,93,73.76
"2016",1102,122,119.18
"2017",1019,122,115.75
"2018",1112,144,97.35
"2019",1067,122,101.13
"2020",1161,121,84.38
"2021",1148,140,112.87
"2022",1206,150,112.00
"2023",1125,129,101.73
"2024",1167,170,110.79
"2025",1138,137,82.50
"2026",66,6,72.73
