"race_year","races","hits_132","return_132"
"2005",1179,20,87.87
"2006",1187,26,86.77
"2007",1158,21,106.89
"2008",1148,18,40.88
"2009",1178,25,84.41
"2010",1107,28,92.82
"2011",1080,37,128.91
"2012",1088,35,66.13
"2013",1123,44,103.70
"2014",1035,32,79.27
"2015",972,34,73.37
"2016",1102,42,79.49
"2017",1019,41,127.15
"2018",1112,49,79.41
"2019",1067,41,79.10
"2020",1161,46,64.78
"2021",1148,54,105.62
"2022",1206,43,61.04
"2023",1125,41,78.30
"2024",1167,54,125.26
"2025",1138,49,75.07
"2026",66,1,49.39
