stadium_code,stadium_name,race_no,total_races,avg_payout,upset_count,upset_rate
06,浜名湖,04,4173,431,116,2.78
11,びわこ,11,3476,433,96,2.76
23,唐津,08,3849,446,106,2.75
10,三国,11,3670,423,100,2.72
11,びわこ,12,3541,433,93,2.63
17,宮島,01,3308,374,85,2.57
21,芦屋,03,3555,392,91,2.56
12,住之江,03,3881,459,99,2.55
14,鳴門,11,2934,404,74,2.52
24,大村,10,3807,387,96,2.52
14,鳴門,03,2831,429,71,2.51
19,下関,01,3432,386,86,2.51
21,芦屋,02,3555,394,89,2.50
23,唐津,11,3795,423,95,2.50
04,平和島,08,3775,466,94,2.49
23,唐津,12,3872,394,96,2.48
06,浜名湖,08,4172,426,103,2.47
21,芦屋,11,3572,410,88,2.46
21,芦屋,09,3506,411,86,2.45
21,芦屋,12,3684,385,90,2.44
01,桐生,06,3904,383,95,2.43
18,徳山,05,3341,397,81,2.42
14,鳴門,04,2847,439,68,2.39
14,鳴門,12,3145,418,75,2.38
17,宮島,11,3365,375,80,2.38
01,桐生,04,3875,489,92,2.37
12,住之江,06,3904,421,92,2.36
10,三国,01,3739,359,88,2.35
24,大村,03,3799,418,89,2.34
20,若松,02,3662,453,85,2.32
06,浜名湖,11,4177,413,97,2.32
05,多摩川,12,3839,403,89,2.32
20,若松,03,3701,449,86,2.32
10,三国,08,3657,430,85,2.32
18,徳山,07,3332,425,77,2.31
04,平和島,11,3767,471,87,2.31
08,常滑,11,3976,379,92,2.31
03,江戸川,09,3424,430,79,2.31
14,鳴門,07,2956,423,68,2.30
15,丸亀,05,3819,424,88,2.30
24,大村,01,3804,368,87,2.29
03,江戸川,12,3322,421,76,2.29
21,芦屋,06,3542,443,81,2.29
01,桐生,10,3899,432,89,2.28
23,唐津,04,3840,429,87,2.27
08,常滑,08,4001,410,91,2.27
07,蒲郡,04,3946,455,89,2.26
21,芦屋,08,3588,393,81,2.26
24,大村,02,3785,413,85,2.25
21,芦屋,10,3508,412,79,2.25
