stadium_code,stadium_name,total_races,wins,win_rate,avg_return
01,桐生,14516,0,0.00,0
02,戸田,12755,0,0.00,0
03,江戸川,9693,0,0.00,0
04,平和島,12743,0,0.00,0
05,多摩川,7459,0,0.00,0
06,浜名湖,14857,0,0.00,0
07,蒲郡,14876,0,0.00,0
08,常滑,15474,0,0.00,0
09,津,14290,0,0.00,0
10,三国,14565,0,0.00,0
11,びわこ,13566,0,0.00,0
12,住之江,16703,0,0.00,0
13,尼崎,15208,0,0.00,0
14,鳴門,11828,0,0.00,0
15,丸亀,15864,0,0.00,0
16,児島,15054,0,0.00,0
17,宮島,14489,0,0.00,0
18,徳山,15672,0,0.00,0
19,下関,14818,0,0.00,0
20,若松,15741,0,0.00,0
21,芦屋,16820,0,0.00,0
23,唐津,14419,0,0.00,0
24,大村,17644,0,0.00,0
