stadium_code,boat1_wins,avg_payout,min_payout,max_payout
24,26334,160,100,8770
21,23308,161,100,8400
12,23202,180,100,64670
08,22949,186,100,7680
18,22811,164,100,20020
13,22575,187,100,10200
07,22121,189,100,11580
20,22058,181,100,6070
09,21897,177,100,5730
15,21839,179,100,12300
06,21673,200,100,4870
16,21523,179,100,7120
19,21426,172,100,9220
23,20983,195,100,16800
17,20760,178,100,19120
10,20544,187,100,8550
01,19865,198,100,5770
22,19117,199,100,6710
05,19096,217,100,5770
11,17921,198,100,5470
03,17817,214,100,4990
02,17067,223,100,4280
04,17048,232,100,6900
14,15799,187,100,4950
