"stadium_code","race_no","races","hits","return_rate"
"07","07",4011,2197,97.22
"05","08",3880,1507,93.69
"03","03",3584,1354,92.74
"03","05",3580,1343,92.61
"05","10",3879,1956,92.08
"06","01",4229,1776,90.82
"03","04",3580,1296,90.47
"03","09",3538,1548,90.40
"05","11",3879,2132,90.40
"03","06",3578,1324,90.11
"05","12",3874,2334,89.92
"03","10",3522,1745,89.52
"07","10",4009,2403,89.45
"05","02",3883,1275,89.39
"06","03",4227,1373,89.03
"03","11",3502,1883,89.03
"05","04",3882,1276,89.00
"03","08",3549,1429,88.93
"03","07",3560,1424,88.87
"03","01",3593,1451,88.80
"05","07",3881,1392,88.40
"05","09",3879,2014,88.37
"05","05",3882,1216,87.94
"03","02",3588,1337,87.90
"07","12",4008,2534,87.82
"03","12",3370,1920,87.69
"06","11",4216,2329,87.54
"06","05",4225,1389,87.46
"07","04",4014,1342,86.60
"07","11",4008,2512,86.45
