feature,coefficient
national_win_rate,0.3006995240482923
national_2nd_rate,0.2393864129608696
local_2nd_rate,0.1066197387171984
rank_score,0.09206774802147463
motor_2nd_rate,0.07349352666052937
stadium_06,0.013182367592527775
stadium_21,0.003967801194647407
stadium_24,0.0023184334164157057
stadium_12,-0.004179094384965284
stadium_04,-0.004187339019013216
stadium_01,-0.007750474568044694
boat_2nd_rate,-0.02673072743453011
local_win_rate,-0.07169766512064565
boat_2,-0.7354685262168262
boat_3,-0.7645615138838198
boat_4,-0.859115350941999
boat_5,-1.0590434434476237
boat_6,-1.3065295428102408
